input_produit_id,input_nom_produit,input_description_produit,input_prix_produit,input_categorie_id,input_longueur_produit,input_largeur_produit,input_hauteur_produit,input_saisonnalite_produit,input_priorite_merchandising,input_contrainte_temperature_produit,input_contrainte_conditionnement_produit,input_conditionnement_produit,input_magasin_id,input_nom_magasin_magasin,input_surface_magasin,input_longueur_magasin,input_largeur_magasin,input_adresse_magasin,input_zone_id,input_nom_zone,input_description_zone,input_emplacement_zone,input_longueur_zone,input_largeur_zone,input_hauteur_zone,input_temperature_zone,input_eclairage_zone,input_quantite_stock,input_date_maj_stock,input_quantite_vente,input_prix_unitaire_vente,input_date_vente,input_promotion_id,input_nom_promotion,input_type_promotion,input_etat_promotion,input_id_supplier,input_placement_exige_supplier,input_espace_minimum_supplier,input_nom_categorie,input_saisonnalite_categorie,input_priorite_categorie,input_zone_exposition_preferee_categorie,input_temperature_exposition_categorie,input_clientele_ciblee_categorie,input_montant_total_vente,input_valeur_stock
PROD_0011,Bière Blonde Premium,Description du Bière Blonde,10.58,CAT_001,17.2,8.3,13.0,printemps,10,0,fragile,plastique,MAG_002,Magasin MAG_002,1029.6,51.3,20.0,59 Rue Liberté,ZONE_001,Zone 001,Zone centrale,centre,7.4,5.8,2.8,ambiante,LED,157,2025-04-06,3,45.35,2025-04-27,,,,,SUP_019,standard,2.3,Catégorie CAT_001,printemps,10,entree,ambiante,tous,136.05,1661.06
PROD_0012,Crème Visage Bio,Description du Crème Visage,11.99,CAT_005,14.3,5.6,25.2,automne,4,1,fragile,metal,MAG_005,Magasin MAG_005,412.9,24.8,12.2,135 Rue Liberté,ZONE_003,Zone 003,Zone spécialisée,fond,8.5,2.2,2.8,froid,halogene,85,2025-04-20,30,73.4,2025-05-14,,Soldes Hiver,pourcentage,,SUP_005,niveau_oeil,1.1,Catégorie CAT_005,printemps,4,centre,froid,senior,2202.0,1019.15
PROD_0013,Pommes de Terre Premium,Description du Pommes de Terre,19.13,CAT_004,13.2,15.9,19.2,toute_annee,5,1,liquide,carton,MAG_002,Magasin MAG_002,996.5,44.2,23.4,962 Rue de la Paix,ZONE_003,Zone 003,Zone périphérique,entree,9.4,4.5,3.0,froid,LED,195,2025-01-09,18,14.5,2025-01-13,,,,planifiee,SUP_028,niveau_oeil,2.6,Catégorie CAT_004,toute_annee,8,centre,froid,famille,261.0,3730.35
PROD_0014,Dentifrice Premium,Description du Dentifrice,9.01,CAT_006,22.9,5.2,22.8,printemps,6,0,standard,verre,MAG_001,Magasin MAG_001,550.5,28.3,20.2,166 Rue Liberté,ZONE_004,Zone 004,Zone périphérique,cote,6.6,4.6,2.7,ambiante,neon,7,2025-04-16,4,57.75,2025-04-18,,,pourcentage,,SUP_019,standard,1.5,Catégorie CAT_006,ete,7,entree,ambiante,famille,231.0,63.07
PROD_0015,Déodorant Bio,Description du Déodorant,5.82,CAT_003,26.0,13.3,23.2,ete,2,0,fragile,metal,MAG_003,Magasin MAG_003,360.8,24.0,17.6,998 Rue Liberté,ZONE_001,Zone 001,Zone spécialisée,centre,6.7,2.4,3.4,ambiante,LED,46,2025-03-26,26,72.83,2025-04-20,PROMO_027,Offre Spéciale,,,SUP_022,standard,2.1,Catégorie CAT_003,ete,5,entree,ambiante,famille,1893.58,267.72
PROD_0016,Huile Olive Light,Description du Huile Olive,14.56,CAT_001,27.5,16.7,26.1,automne,5,0,standard,plastique,MAG_004,Magasin MAG_004,338.2,21.0,17.0,25 Rue Liberté,ZONE_004,Zone 004,Zone centrale,cote,5.6,2.6,3.4,ambiante,halogene,76,2025-05-05,28,51.66,2025-05-07,,,,,SUP_027,standard,0.5,Catégorie CAT_001,automne,1,entree,ambiante,senior,1446.48,1106.56
PROD_0017,Thé Vert Light,Description du Thé Vert,16.19,CAT_005,22.3,8.4,27.8,automne,6,1,fragile,carton,MAG_002,Magasin MAG_002,1029.3,46.4,25.6,395 Rue Liberté,ZONE_003,Zone 003,Zone centrale,fond,6.7,3.3,3.2,froid,LED,186,2025-05-29,14,54.77,2025-05-29,,,,,SUP_024,standard,2.6,Catégorie CAT_005,ete,6,centre,froid,famille,766.78,3011.34
PROD_0018,Jus Orange Classic,Description du Jus Orange,7.75,CAT_005,13.8,8.7,34.3,toute_annee,5,1,liquide,metal,MAG_003,Magasin MAG_003,441.1,30.7,15.5,335 Rue République,ZONE_003,Zone 003,Zone spécialisée,fond,7.8,5.6,3.1,froid,neon,37,2025-05-25,7,65.23,2025-06-07,,,,planifiee,SUP_010,niveau_oeil,1.8,Catégorie CAT_005,toute_annee,1,centre,froid,senior,456.61,286.75
PROD_0019,Pain Complet Light,Description du Pain Complet,7.28,CAT_004,14.2,5.4,26.1,ete,9,1,fragile,plastique,MAG_002,Magasin MAG_002,973.5,63.6,21.9,675 Rue de la Paix,ZONE_003,Zone 003,Zone périphérique,fond,6.2,5.8,3.5,froid,LED,197,2025-03-04,8,73.87,2025-03-25,,,pourcentage,inactive,SUP_020,tete_gondole,1.4,Catégorie CAT_004,hiver,7,fond,froid,jeune,590.96,1434.16
PROD_0020,Huile Olive Premium,Description du Huile Olive,4.91,CAT_004,26.7,9.8,14.2,printemps,7,1,standard,plastique,MAG_004,Magasin MAG_004,423.7,24.8,14.3,824 Rue Liberté,ZONE_004,Zone 004,Zone spécialisée,cote,8.9,5.7,3.2,froid,LED,147,2025-05-19,8,49.04,2025-06-17,,,,,SUP_018,standard,0.7,Catégorie CAT_004,automne,8,fond,froid,tous,392.32,721.77
PROD_0021,Bière Blonde Light,Description du Bière Blonde,17.06,CAT_004,23.3,15.5,19.0,automne,4,1,liquide,verre,MAG_005,Magasin MAG_005,402.9,21.6,16.7,785 Rue Liberté,ZONE_002,Zone 002,Zone périphérique,centre,7.1,5.2,3.3,froid,halogene,117,2025-02-24,3,70.43,2025-03-18,,,,,SUP_005,tete_gondole,2.8,Catégorie CAT_004,ete,7,fond,froid,jeune,211.29,1996.02
PROD_0022,Jambon Blanc Light,Description du Jambon Blanc,24.08,CAT_001,23.4,16.9,32.3,hiver,1,0,standard,metal,MAG_002,Magasin MAG_002,1051.5,69.3,21.7,399 Rue Liberté,ZONE_004,Zone 004,Zone spécialisée,entree,7.4,3.5,2.6,ambiante,neon,102,2025-04-02,16,49.64,2025-04-02,,,,,SUP_027,niveau_oeil,0.6,Catégorie CAT_001,toute_annee,9,fond,ambiante,jeune,794.24,2456.16
PROD_0023,Jambon Blanc Premium,Description du Jambon Blanc,4.63,CAT_002,8.7,5.6,30.6,hiver,6,0,liquide,metal,MAG_004,Magasin MAG_004,515.7,19.4,17.4,742 Rue de la Paix,ZONE_003,Zone 003,Zone périphérique,centre,7.5,2.5,3.0,ambiante,neon,141,2025-02-21,1,63.44,2025-03-22,,,2pour1,,SUP_028,niveau_oeil,1.0,Catégorie CAT_002,ete,1,centre,ambiante,tous,63.44,652.83
PROD_0024,Lait Entier Light,Description du Lait Entier,8.24,CAT_002,19.9,14.6,28.2,automne,7,0,fragile,carton,MAG_003,Magasin MAG_003,363.5,25.6,16.1,482 Rue de la Paix,ZONE_004,Zone 004,Zone spécialisée,entree,11.8,4.1,2.8,ambiante,halogene,62,2025-03-31,21,65.25,2025-04-02,,,,,SUP_007,tete_gondole,1.2,Catégorie CAT_002,toute_annee,3,entree,ambiante,jeune,1370.25,510.88
PROD_0025,Carottes Light,Description du Carottes,20.48,CAT_006,17.0,7.6,13.9,automne,6,0,standard,carton,MAG_004,Magasin MAG_004,360.4,24.7,17.0,797 Rue de la Paix,ZONE_001,Zone 001,Zone périphérique,entree,6.8,4.2,3.2,ambiante,neon,11,2025-05-01,30,55.53,2025-05-10,,,,,SUP_007,tete_gondole,1.2,Catégorie CAT_006,toute_annee,4,entree,ambiante,senior,1665.9,225.28
PROD_0026,Yaourt Nature Light,Description du Yaourt Nature,9.11,CAT_001,15.8,16.4,10.4,automne,2,0,liquide,verre,MAG_005,Magasin MAG_005,506.1,28.1,13.0,13 Rue République,ZONE_001,Zone 001,Zone périphérique,entree,5.8,2.2,2.5,ambiante,halogene,97,2025-02-09,21,69.59,2025-03-09,,,,,SUP_021,niveau_oeil,2.3,Catégorie CAT_001,toute_annee,9,centre,ambiante,tous,1461.39,883.67
PROD_0027,Lait Entier Premium,Description du Lait Entier,6.59,CAT_006,11.8,11.5,20.0,automne,8,0,standard,metal,MAG_004,Magasin MAG_004,353.7,24.8,10.0,584 Rue Liberté,ZONE_003,Zone 003,Zone spécialisée,cote,9.3,4.5,2.5,ambiante,halogene,12,2025-04-24,16,34.97,2025-05-21,,,,,SUP_009,standard,2.1,Catégorie CAT_006,automne,9,entree,ambiante,jeune,559.52,79.08
PROD_0028,Pommes Golden Bio,Description du Pommes Golden,16.07,CAT_002,9.6,14.6,10.7,hiver,8,0,fragile,carton,MAG_001,Magasin MAG_001,658.2,30.0,18.0,96 Rue République,ZONE_004,Zone 004,Zone centrale,cote,9.1,5.8,3.1,ambiante,neon,67,2025-02-03,10,35.95,2025-02-24,,,,,SUP_024,standard,2.1,Catégorie CAT_002,automne,6,fond,ambiante,tous,359.5,1076.69
PROD_0029,Huile Olive Bio,Description du Huile Olive,17.34,CAT_003,29.1,18.6,14.9,automne,2,0,liquide,plastique,MAG_003,Magasin MAG_003,506.7,19.1,15.7,197 Rue de la Paix,ZONE_003,Zone 003,Zone spécialisée,cote,5.5,2.4,2.5,ambiante,halogene,190,2025-05-26,19,14.8,2025-06-19,,,pourcentage,,SUP_012,tete_gondole,2.2,Catégorie CAT_003,automne,1,fond,ambiante,jeune,281.2,3294.6
PROD_0030,Oranges Bio,Description du Oranges,20.28,CAT_001,10.6,15.5,25.7,hiver,2,0,standard,verre,MAG_003,Magasin MAG_003,389.6,23.5,14.8,481 Rue République,ZONE_001,Zone 001,Zone périphérique,fond,11.1,4.9,3.3,ambiante,LED,18,2025-04-12,9,28.31,2025-05-12,,Soldes Hiver,,planifiee,SUP_022,tete_gondole,0.9,Catégorie CAT_001,ete,3,fond,ambiante,senior,254.79,365.04
PROD_0031,Oranges Bio,Description du Oranges,13.07,CAT_002,16.2,16.6,18.5,toute_annee,7,0,fragile,metal,MAG_001,Magasin MAG_001,637.4,31.8,20.0,305 Rue Liberté,ZONE_001,Zone 001,Zone périphérique,fond,11.5,5.4,2.9,ambiante,neon,163,2025-03-11,2,62.06,2025-03-30,,Promo Flash,,,SUP_003,tete_gondole,2.4,Catégorie CAT_002,ete,3,fond,ambiante,famille,124.12,2130.41
PROD_0032,Pain Complet Light,Description du Pain Complet,10.11,CAT_001,16.6,5.2,32.6,automne,1,0,standard,verre,MAG_002,Magasin MAG_002,1130.5,50.1,22.0,724 Rue République,ZONE_004,Zone 004,Zone spécialisée,cote,5.6,3.3,3.5,ambiante,LED,180,2024-12-31,8,76.44,2025-01-29,,,,,SUP_007,niveau_oeil,1.9,Catégorie CAT_001,printemps,9,entree,ambiante,jeune,611.52,1819.8
PROD_0033,Thé Vert Classic,Description du Thé Vert,5.88,CAT_002,22.8,16.3,29.8,toute_annee,10,0,fragile,metal,MAG_003,Magasin MAG_003,359.1,31.3,14.0,128 Rue République,ZONE_001,Zone 001,Zone spécialisée,fond,10.5,2.4,3.0,ambiante,neon,108,2025-05-14,9,12.14,2025-05-30,,,,,SUP_024,niveau_oeil,1.9,Catégorie CAT_002,toute_annee,5,entree,ambiante,famille,109.26,635.04
PROD_0034,Vin Rouge Classic,Description du Vin Rouge,10.05,CAT_006,11.1,16.4,25.5,toute_annee,1,0,standard,metal,MAG_002,Magasin MAG_002,1097.5,49.3,17.5,532 Rue Liberté,ZONE_001,Zone 001,Zone périphérique,fond,5.7,2.3,3.2,ambiante,LED,154,2025-01-04,14,13.24,2025-01-24,,,,,SUP_011,standard,2.6,Catégorie CAT_006,printemps,3,centre,ambiante,tous,185.36,1547.7
PROD_0035,Dentifrice Premium,Description du Dentifrice,5.24,CAT_003,25.9,19.2,34.7,hiver,2,0,fragile,verre,MAG_004,Magasin MAG_004,376.4,25.7,13.1,332 Rue de la Paix,ZONE_004,Zone 004,Zone périphérique,entree,10.3,3.5,2.6,ambiante,neon,143,2025-02-05,15,63.95,2025-02-18,PROMO_034,,,,SUP_025,tete_gondole,1.9,Catégorie CAT_003,ete,5,fond,ambiante,jeune,959.25,749.32
PROD_0036,Biscuits Sablés Bio,Description du Biscuits Sablés,6.68,CAT_004,8.2,12.0,11.4,ete,5,1,liquide,carton,MAG_003,Magasin MAG_003,442.9,24.5,16.0,566 Rue République,ZONE_004,Zone 004,Zone centrale,centre,5.8,2.5,3.1,froid,LED,123,2025-06-18,4,61.72,2025-07-08,,,,,SUP_009,niveau_oeil,2.0,Catégorie CAT_004,hiver,8,entree,froid,tous,246.88,821.64
PROD_0037,Riz Basmati Bio,Description du Riz Basmati,9.58,CAT_002,12.9,19.4,10.3,printemps,5,0,fragile,verre,MAG_005,Magasin MAG_005,394.6,26.2,17.4,957 Rue Liberté,ZONE_004,Zone 004,Zone périphérique,entree,11.8,2.2,3.4,ambiante,halogene,190,2025-01-23,10,45.99,2025-02-18,,,,planifiee,SUP_016,niveau_oeil,3.0,Catégorie CAT_002,automne,9,fond,ambiante,tous,459.9,1820.2
PROD_0038,Soda Cola Light,Description du Soda Cola,16.42,CAT_003,21.8,15.4,21.4,ete,7,0,standard,verre,MAG_004,Magasin MAG_004,404.9,22.7,16.0,763 Rue République,ZONE_002,Zone 002,Zone spécialisée,cote,9.4,4.3,3.4,ambiante,halogene,174,2025-04-25,26,11.27,2025-05-21,,Soldes Hiver,2pour1,,SUP_004,niveau_oeil,1.2,Catégorie CAT_003,printemps,9,centre,ambiante,famille,293.02,2857.08
PROD_0039,Chocolat Noir Classic,Description du Chocolat Noir,8.5,CAT_004,18.2,10.3,24.6,automne,10,1,liquide,metal,MAG_002,Magasin MAG_002,1219.0,46.0,17.5,666 Rue de la Paix,ZONE_002,Zone 002,Zone périphérique,cote,5.5,5.9,3.5,froid,halogene,165,2025-02-25,23,58.27,2025-03-25,,,pourcentage,planifiee,SUP_030,niveau_oeil,1.8,Catégorie CAT_004,ete,2,centre,froid,famille,1340.21,1402.5
PROD_0040,Soda Cola Premium,Description du Soda Cola,16.37,CAT_004,28.0,17.3,33.7,printemps,6,1,standard,verre,MAG_001,Magasin MAG_001,647.5,28.3,18.2,368 Rue République,ZONE_002,Zone 002,Zone périphérique,centre,10.1,4.5,2.9,froid,LED,140,2025-04-10,14,75.16,2025-04-28,,Promo Flash,montant,,SUP_008,niveau_oeil,2.7,Catégorie CAT_004,toute_annee,3,entree,froid,tous,1052.24,2291.8
PROD_0041,Jus Orange Light,Description du Jus Orange,27.45,CAT_004,29.3,17.6,31.0,automne,9,1,standard,carton,MAG_003,Magasin MAG_003,459.0,23.6,12.6,453 Rue République,ZONE_003,Zone 003,Zone spécialisée,fond,8.3,3.7,2.8,froid,neon,113,2025-06-23,23,12.06,2025-07-01,,,,,SUP_004,tete_gondole,2.7,Catégorie CAT_004,hiver,10,centre,froid,senior,277.38,3101.85
PROD_0042,Vinaigre Balsamique Premium,Description du Vinaigre Balsamique,17.7,CAT_001,17.9,6.9,33.9,toute_annee,8,0,fragile,plastique,MAG_003,Magasin MAG_003,400.3,25.1,15.1,622 Rue République,ZONE_004,Zone 004,Zone centrale,centre,9.2,2.9,3.2,ambiante,neon,69,2025-06-23,22,52.51,2025-07-17,,,,,SUP_029,standard,1.4,Catégorie CAT_001,printemps,5,centre,ambiante,famille,1155.22,1221.3
PROD_0043,Chocolat Noir Classic,Description du Chocolat Noir,13.06,CAT_003,19.4,17.8,23.8,hiver,3,0,standard,plastique,MAG_005,Magasin MAG_005,416.6,22.8,19.1,806 Rue Liberté,ZONE_002,Zone 002,Zone périphérique,fond,8.9,5.5,2.9,ambiante,LED,70,2025-04-11,30,17.65,2025-05-07,,,,,SUP_026,tete_gondole,0.6,Catégorie CAT_003,hiver,2,entree,ambiante,jeune,529.5,914.2
PROD_0044,Chocolat Noir Premium,Description du Chocolat Noir,18.39,CAT_005,11.0,5.2,18.8,automne,9,1,standard,metal,MAG_004,Magasin MAG_004,432.3,29.1,14.1,378 Rue Liberté,ZONE_003,Zone 003,Zone spécialisée,fond,9.1,3.6,2.9,froid,neon,102,2025-03-16,27,73.1,2025-04-05,,Promo Flash,,,SUP_018,niveau_oeil,1.4,Catégorie CAT_005,toute_annee,4,fond,froid,famille,1973.7,1875.78
PROD_0045,Eau Minérale Premium,Description du Eau Minérale,5.32,CAT_006,27.0,19.2,13.7,ete,1,0,standard,verre,MAG_004,Magasin MAG_004,475.1,25.2,19.3,505 Rue de la Paix,ZONE_003,Zone 003,Zone centrale,centre,11.5,4.0,2.8,ambiante,neon,39,2025-03-13,13,41.06,2025-03-27,,,,,SUP_019,standard,3.0,Catégorie CAT_006,ete,7,fond,ambiante,famille,533.78,207.48
PROD_0046,Vinaigre Balsamique Classic,Description du Vinaigre Balsamique,18.21,CAT_005,9.7,6.9,13.2,ete,8,1,fragile,plastique,MAG_004,Magasin MAG_004,296.6,24.7,13.4,876 Rue République,ZONE_004,Zone 004,Zone centrale,fond,6.1,2.6,3.1,froid,neon,170,2025-06-17,12,21.1,2025-06-18,,Soldes Hiver,,,SUP_003,standard,1.4,Catégorie CAT_005,ete,10,entree,froid,famille,253.2,3095.7
PROD_0047,Shampoing Bio,Description du Shampoing,16.48,CAT_002,12.2,5.6,14.2,printemps,9,0,standard,plastique,MAG_003,Magasin MAG_003,396.9,27.9,14.0,833 Rue de la Paix,ZONE_002,Zone 002,Zone périphérique,centre,7.0,2.7,2.6,ambiante,neon,5,2025-02-01,9,16.69,2025-02-28,,,,,SUP_004,standard,1.7,Catégorie CAT_002,printemps,3,entree,ambiante,senior,150.21,82.4
PROD_0048,Café Arabica Classic,Description du Café Arabica,12.44,CAT_005,8.9,17.0,25.7,printemps,3,1,liquide,metal,MAG_002,Magasin MAG_002,944.6,44.0,25.9,539 Rue de la Paix,ZONE_003,Zone 003,Zone spécialisée,entree,5.6,5.5,3.4,froid,halogene,119,2025-05-12,25,12.4,2025-05-23,,Promo Flash,,planifiee,SUP_017,niveau_oeil,1.2,Catégorie CAT_005,hiver,1,entree,froid,tous,310.0,1480.36
PROD_0049,Pommes Golden Premium,Description du Pommes Golden,8.62,CAT_004,16.2,12.3,25.5,printemps,6,1,liquide,plastique,MAG_004,Magasin MAG_004,430.7,27.3,14.9,68 Rue de la Paix,ZONE_001,Zone 001,Zone périphérique,fond,7.6,3.9,3.2,froid,halogene,157,2025-03-04,17,10.64,2025-03-13,,,2pour1,planifiee,SUP_021,standard,1.1,Catégorie CAT_004,ete,7,centre,froid,jeune,180.88,1353.34
PROD_0050,Fromage Emmental Premium,Description du Fromage Emmental,23.85,CAT_003,10.4,11.7,23.3,automne,7,0,fragile,verre,MAG_004,Magasin MAG_004,428.8,25.9,22.2,384 Rue de la Paix,ZONE_004,Zone 004,Zone spécialisée,cote,6.7,3.1,2.9,ambiante,LED,28,2025-03-11,27,9.45,2025-03-13,PROMO_007,,,active,SUP_019,standard,1.3,Catégorie CAT_003,toute_annee,6,fond,ambiante,famille,255.15,667.8
PROD_0051,Savon Classic,Description du Savon,20.68,CAT_003,25.4,12.5,12.2,toute_annee,5,0,fragile,carton,MAG_004,Magasin MAG_004,367.7,21.8,19.4,592 Rue Liberté,ZONE_004,Zone 004,Zone centrale,centre,8.8,4.3,3.2,ambiante,neon,128,2025-06-12,8,39.08,2025-07-09,PROMO_036,,,,SUP_026,niveau_oeil,0.8,Catégorie CAT_003,toute_annee,10,fond,ambiante,famille,312.64,2647.04
PROD_0052,Café Arabica Classic,Description du Café Arabica,38.31,CAT_006,15.8,19.8,25.1,automne,6,0,fragile,carton,MAG_005,Magasin MAG_005,356.2,20.9,17.9,186 Rue de la Paix,ZONE_003,Zone 003,Zone spécialisée,cote,6.7,2.4,2.7,ambiante,LED,41,2025-05-10,24,25.71,2025-05-30,,Promo Flash,,,SUP_006,niveau_oeil,0.9,Catégorie CAT_006,automne,6,fond,ambiante,famille,617.04,1570.71
PROD_0053,Vin Rouge Premium,Description du Vin Rouge,7.4,CAT_002,17.0,19.7,12.8,printemps,5,0,fragile,metal,MAG_001,Magasin MAG_001,570.4,27.4,20.1,498 Rue Liberté,ZONE_002,Zone 002,Zone périphérique,cote,7.8,5.9,3.4,ambiante,halogene,60,2025-01-18,25,66.83,2025-02-03,PROMO_028,Black Friday,,,SUP_008,niveau_oeil,1.1,Catégorie CAT_002,toute_annee,1,entree,ambiante,jeune,1670.75,444.0
PROD_0054,Vin Rouge Classic,Description du Vin Rouge,19.12,CAT_002,20.6,9.2,29.2,automne,2,0,standard,metal,MAG_003,Magasin MAG_003,425.0,22.1,16.2,765 Rue République,ZONE_002,Zone 002,Zone centrale,centre,6.3,3.3,2.9,ambiante,halogene,141,2025-04-21,23,44.55,2025-04-28,,,,planifiee,SUP_002,niveau_oeil,1.1,Catégorie CAT_002,printemps,8,entree,ambiante,senior,1024.65,2695.92
PROD_0055,Soda Cola Light,Description du Soda Cola,4.5,CAT_004,11.4,12.2,23.3,automne,2,1,fragile,carton,MAG_005,Magasin MAG_005,413.0,22.3,17.3,990 Rue République,ZONE_004,Zone 004,Zone centrale,cote,5.4,3.3,2.6,froid,neon,97,2025-01-13,3,12.56,2025-01-26,,Black Friday,,,SUP_010,standard,3.0,Catégorie CAT_004,automne,4,centre,froid,jeune,37.68,436.5
PROD_0056,Bananes Bio,Description du Bananes,6.19,CAT_005,24.7,13.9,21.8,automne,6,1,liquide,plastique,MAG_001,Magasin MAG_001,650.3,28.3,21.7,242 Rue de la Paix,ZONE_001,Zone 001,Zone centrale,fond,7.9,3.4,3.4,froid,LED,49,2025-02-15,20,67.8,2025-02-19,,,2pour1,,SUP_025,standard,2.9,Catégorie CAT_005,toute_annee,8,fond,froid,senior,1356.0,303.31
PROD_0057,Chocolat Noir Light,Description du Chocolat Noir,11.1,CAT_002,20.6,17.6,13.5,automne,5,0,liquide,carton,MAG_003,Magasin MAG_003,418.6,23.2,16.2,361 Rue Liberté,ZONE_004,Zone 004,Zone centrale,fond,10.6,2.8,2.7,ambiante,halogene,120,2025-02-25,2,19.83,2025-02-26,,,,,SUP_003,standard,2.5,Catégorie CAT_002,toute_annee,9,centre,ambiante,tous,39.66,1332.0
